DEBUG 2024-10-10 12:51:21,174 autoreload File C:\Users\cmadaria\Miniconda3\Lib\multiprocessing\__init__.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,174 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\styles\named_styles.py first seen with mtime 1692801713.0012455
DEBUG 2024-10-10 12:51:21,175 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\sorting.py first seen with mtime 1682339318.14907
DEBUG 2024-10-10 12:51:21,175 autoreload File C:\Users\cmadaria\Miniconda3\Lib\io.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,175 autoreload File C:\Users\cmadaria\Miniconda3\Lib\xml\etree\ElementPath.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,177 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\numpy\ma\core.py first seen with mtime 1725286597.7419991
DEBUG 2024-10-10 12:51:21,177 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1728485726.9026515
DEBUG 2024-10-10 12:51:21,177 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\worksheet\protection.py first seen with mtime 1692801713.5117106
DEBUG 2024-10-10 12:51:21,178 autoreload File C:\Users\cmadaria\Miniconda3\Lib\concurrent\futures\_base.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,178 autoreload File C:\Users\cmadaria\Miniconda3\Lib\re.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,178 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1728485724.4130783
DEBUG 2024-10-10 12:51:21,179 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1728485688.8844569
DEBUG 2024-10-10 12:51:21,179 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\arrays\boolean.py first seen with mtime 1682339318.3641193
DEBUG 2024-10-10 12:51:21,179 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1728485726.8696089
DEBUG 2024-10-10 12:51:21,180 autoreload File C:\Users\cmadaria\Miniconda3\DLLs\_sqlite3.pyd first seen with mtime 1673450237.0
DEBUG 2024-10-10 12:51:21,180 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\io\excel\__init__.py first seen with mtime 1682339320.0098565
DEBUG 2024-10-10 12:51:21,180 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1728485722.9164662
DEBUG 2024-10-10 12:51:21,181 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\plotting\_misc.py first seen with mtime 1682339320.6821737
DEBUG 2024-10-10 12:51:21,181 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\chart\print_settings.py first seen with mtime 1692801712.3638234
DEBUG 2024-10-10 12:51:21,181 autoreload File C:\Users\cmadaria\Miniconda3\Lib\heapq.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,181 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1728485694.257748
DEBUG 2024-10-10 12:51:21,182 autoreload File C:\Users\cmadaria\Miniconda3\DLLs\pyexpat.pyd first seen with mtime 1673450233.0
DEBUG 2024-10-10 12:51:21,182 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\numpy\lib\_datasource.py first seen with mtime 1725286597.3216214
DEBUG 2024-10-10 12:51:21,182 autoreload File C:\Users\cmadaria\Miniconda3\Lib\json\scanner.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,182 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1728485703.6128845
DEBUG 2024-10-10 12:51:21,183 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\shared_docs.py first seen with mtime 1682339318.1371133
DEBUG 2024-10-10 12:51:21,183 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\_config\dates.py first seen with mtime 1682339314.761941
DEBUG 2024-10-10 12:51:21,183 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\numpy\random\_philox.cp310-win_amd64.pyd first seen with mtime 1725286598.539008
DEBUG 2024-10-10 12:51:21,184 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\io\clipboards.py first seen with mtime 1682339319.8479936
DEBUG 2024-10-10 12:51:21,188 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1728485724.7365706
DEBUG 2024-10-10 12:51:21,190 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1728485703.4585152
DEBUG 2024-10-10 12:51:21,191 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\window\online.py first seen with mtime 1682339319.790579
DEBUG 2024-10-10 12:51:21,192 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\groupby\base.py first seen with mtime 1682339318.9049578
DEBUG 2024-10-10 12:51:21,192 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\api\extensions\__init__.py first seen with mtime 1682339317.8111491
DEBUG 2024-10-10 12:51:21,193 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\middleware\clickjacking.py first seen with mtime 1728485725.8754146
DEBUG 2024-10-10 12:51:21,193 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1728485726.1646574
DEBUG 2024-10-10 12:51:21,194 autoreload File C:\Users\cmadaria\Miniconda3\Lib\json\__init__.py first seen with mtime 1670351481.0
